analysis,method,disease_category,taxon,genus,effect,se,stat,p,q,ci_low,ci_high,n_case,n_control,k_projects,n_taxa_tested,converged
pooled,combat_ols,cancer_other,Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Coriobacteriaceae.Collinsella,Collinsella,-0.40763791065888894,0.19300621451580935,-2.112045519785576,0.034962207497603676,0.19537048930747442,-0.7859300911098752,-0.0293457302079026,629,260,3,175,
pooled,combat_ols,cancer_other,Bacteria.Actinomycetota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Adlercreutzia,Adlercreutzia,0.09715293756760766,0.12465133039854195,0.7793975183175748,0.4359539511458459,0.7603983314254159,-0.1471636700135346,0.3414695451487499,629,260,3,175,
pooled,combat_ols,cancer_other,Bacteria.Bacillota.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Holdemanella,Holdemanella,0.3843685688010622,0.17495124880738455,2.19700385919645,0.028278742970204798,0.19141506692063162,0.041464121138588494,0.7272730164635359,629,260,3,175,
pooled,combat_ols,cancer_other,Bacteria.Bacillota.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus,Streptococcus,-0.0960977401633767,0.18521081005508463,-0.518856000547677,0.6039908751071188,0.8388762154265539,-0.45911092787134256,0.2669154475445892,629,260,3,175,
pooled,combat_ols,cancer_other,Bacteria.Bacillota.Bacilli.RF39.Incertae Sedis.Incertae Sedis,Incertae Sedis,-0.0963094975378583,0.1845079452019156,-0.5219802184261623,0.6018147190157911,0.8388762154265539,-0.45794507013361285,0.2653260750578963,629,260,3,175,
pooled,combat_ols,cancer_other,Bacteria.Bacillota.Clostridia.Christensenellales.Christensenellaceae.Christensenellaceae R-7 group,Christensenellaceae R-7 group,-0.15812703703687184,0.18680098693914102,-0.8465000085271978,0.39750270053411774,0.7479889526179634,-0.5242569714375882,0.20800289736384456,629,260,3,175,
pooled,combat_ols,cancer_other,Bacteria.Bacillota.Clostridia.Clostridia UCG-014.Incertae Sedis.Incertae Sedis,Incertae Sedis,-0.26853608590473,0.2258289258782273,-1.189112886493254,0.23471419566123178,0.5626710169961036,-0.7111607806260556,0.17408860881659555,629,260,3,175,
pooled,combat_ols,cancer_other,Bacteria.Bacillota.Clostridia.Clostridiales.Clostridiaceae.Clostridium,Clostridium,-0.4009489468601279,0.17514082563737726,-2.289294602791688,0.022296950162228733,0.19141506692063162,-0.7442249651093873,-0.05767292861086848,629,260,3,175,
pooled,combat_ols,cancer_other,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Agathobacter,Agathobacter,0.10609542000801407,0.1605930553218967,0.6606476213766143,0.5090102448519562,0.7955535201908098,-0.20866696842290344,0.4208578084389316,629,260,3,175,
pooled,combat_ols,cancer_other,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Blautia,Blautia,0.035678790623884724,0.08183549056450262,0.4359818750736607,0.6629562046687645,0.8431736636032097,-0.12471877088254042,0.19607635213030988,629,260,3,175,
pooled,combat_ols,cancer_other,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Coprococcus,Coprococcus,0.0757507906567186,0.1698225144833588,0.4460585858545955,0.6556640356165913,0.8431736636032097,-0.2571013377306647,0.40860291904410184,629,260,3,175,
pooled,combat_ols,cancer_other,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Dorea,Dorea,-0.024106387378692768,0.15738402205172794,-0.1531692166995811,0.8782997485514163,0.925918409617457,-0.3325790706000795,0.284366295842694,629,260,3,175,
pooled,combat_ols,cancer_other,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Howardella,Howardella,-0.08924470346805642,0.1166943113547451,-0.7647733846833099,0.44461037266735803,0.7628119138900751,-0.31796555372335683,0.13947614678724396,629,260,3,175,
pooled,combat_ols,cancer_other,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Lachnospiraceae NK4A136 group,Lachnospiraceae NK4A136 group,0.1598053970689036,0.15212575711080545,1.0504821806901803,0.29378323994893224,0.6414664267453192,-0.13836108686827506,0.4579718810060822,629,260,3,175,
pooled,combat_ols,cancer_other,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Mediterraneibacter,Mediterraneibacter,0.05578000323976989,0.10343706751014824,0.5392651259597755,0.5898395641399716,0.8388762154265539,-0.14695664908012065,0.2585166555596604,629,260,3,175,
pooled,combat_ols,cancer_other,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Roseburia,Roseburia,0.16813006909004866,0.15011660157203993,1.1199965049126441,0.26301910537658435,0.6137112458786969,-0.12609846999114963,0.46235860817124697,629,260,3,175,
pooled,combat_ols,cancer_other,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.[Eubacterium] eligens group,[Eubacterium] eligens group,-0.07561605090145147,0.17023499554303506,-0.4441862888429183,0.6570164943746829,0.8431736636032097,-0.4092766421658002,0.25804454036289726,629,260,3,175,
pooled,combat_ols,cancer_other,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.[Eubacterium] ruminantium group,[Eubacterium] ruminantium group,-0.2821048650232078,0.1705535579864354,-1.6540544117270446,0.09847106446818882,0.35605404799820073,-0.6163898386766211,0.05218010863020556,629,260,3,175,
pooled,combat_ols,cancer_other,Bacteria.Bacillota.Clostridia.NA.NA.NA,Clostridia,-0.05869405329537788,0.14829651077510717,-0.39578849824988716,0.6923564553548058,0.8501805917204877,-0.3493552144145879,0.23196710782383215,629,260,3,175,
pooled,combat_ols,cancer_other,Bacteria.Bacillota.Clostridia.Oscillospirales.Oscillospiraceae.Colidextribacter,Colidextribacter,-0.1903337992855375,0.15186188357788902,-1.2533349040670663,0.21041486289603695,0.5495910598030816,-0.4879830910982,0.10731549252712497,629,260,3,175,
pooled,combat_ols,cancer_other,Bacteria.Bacillota.Clostridia.Oscillospirales.Oscillospiraceae.UCG-002,UCG-002,-0.22727918587952803,0.18825617252616791,-1.2072867669076606,0.22764428840629145,0.5626710169961036,-0.5962612840308171,0.1417029122717611,629,260,3,175,
pooled,combat_ols,cancer_other,Bacteria.Bacillota.Clostridia.Oscillospirales.Ruminococcaceae.CAG-352,CAG-352,-0.2752989386229389,0.22783082050515013,-1.2083480979989525,0.22723616448568068,0.5626710169961036,-0.7218473468130331,0.1712494695671553,629,260,3,175,
pooled,combat_ols,cancer_other,Bacteria.Bacillota.Clostridia.Oscillospirales.Ruminococcaceae.Faecalibacterium,Faecalibacterium,0.07669437731598956,0.13005724375800864,0.5896970833757723,0.555544265510124,0.8169768610443,-0.1782178204497074,0.3316065750816865,629,260,3,175,
pooled,combat_ols,cancer_other,Bacteria.Bacillota.Clostridia.Oscillospirales.Ruminococcaceae.Gemmiger,Gemmiger,0.057626443037488435,0.17127398751599868,0.33645764820011304,0.7366055450472737,0.8501805917204877,-0.27807057249386896,0.3933234585688458,629,260,3,175,
pooled,combat_ols,cancer_other,Bacteria.Bacillota.Clostridia.Oscillospirales.Ruminococcaceae.NA,Ruminococcaceae,-0.2974853262403754,0.17068721430988676,-1.7428682484692941,0.08170394806519174,0.3404331169382989,-0.6320322662877534,0.03706161380700268,629,260,3,175,
pooled,combat_ols,cancer_other,Bacteria.Bacillota.Clostridia.Oscillospirales.Ruminococcaceae.Ruminococcus,Ruminococcus,-0.36185023312972975,0.1692796629446113,-2.1375883365748902,0.03282361451538094,0.19147108467305549,-0.6936383725011679,-0.030062093758291608,629,260,3,175,
